"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACCESS","ACR","AGS","BATH","BDSP","BLD","BROADBND","BUS","COMPOTHX","CONP","DIALUP","DSL","ELEP","FIBEROP","FS","FULP","GASP","HANDHELD","HFL","INSP","LAPTOP","MHP","MODEM","MRGI","MRGP","MRGT","MRGX","OTHSVCEX","REFR","RMSP","RNTM","RNTP","RWAT","RWATPR","SATELLITE","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FFINCP","FGRNTP","FHINCP","FINCP","FPARC","FPLMPRP","FSMOCP","GRNTP","GRPIP","HHL","HHT","HINCP","HOTWAT","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","BTUEL"
22932,"H",7,1200,3,48,1000000,1001264,55,4,1,2,1,0,1,3,2,0,2,2,0,0,0,180,0,2,2,3,1,3,0,2,0,0,2,800,1,1,0,1,6,0,0,1,9,0,1,0,1,1,1,1,0,185000,2,720,6,2,1,0,1,70200,2,0,0,0,0,1,1,70200,9,0,2,2,2,1,1,1,3,2,4,0,80802.984
23098,"H",7,5305,3,48,1000000,1001264,74,1,1,1,0,0,1,1,8,1,0,1,0,2,2,160,2,2,2,30,1,3,0,1,0,2,0,0,0,0,2,1,2,2,1500,1,9,1,1,0,1,1,3,1,0,0,1,1,8,0,0,1,1,0,0,0,0,1690,18,1,6,115000,9,0,4,4,4,1,1,1,1,0,0,0,134448.894
23140,"H",7,2102,3,48,1000000,1001264,76,2,1,3,1,0,1,2,3,0,2,1,0,0,0,80,0,1,1,2,1,3,0,2,0,0,0,0,0,0,0,1,4,2,570,1,9,0,1,0,1,1,3,1,0,0,2,1,5,7,1,0,1,43000,4,0,0,650,18,1,3,43000,9,0,4,4,4,1,1,1,3,0,2,0,14433.798
23509,"H",7,800,3,48,1000000,1001264,60,3,1,1,2,2,1,3,2,2,2,2,0,2,2,200,2,2,2,130,1,2,1300,1,0,2,2,900,2,1,2,1,7,0,0,1,9,1,1,0,1,1,1,1,0,225000,4,600,7,1,0,0,0,205010,4,0,0,0,0,1,1,205010,9,0,4,4,4,1,1,1,3,0,3,0,51366.073
23809,"H",7,4905,3,48,1000000,1001264,147,4,1,1,1,0,1,5,2,1,2,2,0,2,2,70,2,2,2,70,1,1,1300,1,0,1,1,2000,1,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,303000,2,700,18,2,0,0,0,130000,2,0,0,0,0,2,1,130000,9,0,2,2,2,1,1,1,1,2,4,0,66271
24263,"H",7,5910,3,48,1000000,1001264,84,2,1,1,0,0,1,2,9,2,0,2,0,2,2,100,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,4,2,1200,1,9,2,1,0,1,1,3,1,0,0,2,10,7,2,0,0,0,62000,4,0,0,1301,25,2,1,62000,9,0,4,4,4,1,1,1,1,0,2,0,64464.862
24526,"H",7,4626,3,48,1000000,1001264,159,3,1,3,0,0,1,1,7,0,0,2,0,0,0,60,0,2,2,3,1,3,0,1,0,0,0,0,0,0,0,1,3,2,500,1,9,0,1,0,1,1,3,1,0,0,2,1,5,2,0,0,0,30000,2,0,0,560,22,2,1,30000,9,0,1,1,1,1,2,1,3,1,3,0,23657
24567,"H",7,2304,3,48,1000000,1001264,59,5,1,1,1,0,1,3,2,2,2,2,0,2,2,350,2,2,2,3,1,3,0,1,0,1,0,0,0,3,2,1,6,0,0,1,9,2,1,0,1,1,2,1,0,75000,3,2,8,2,1,0,1,25200,2,0,0,0,0,2,1,25200,9,1,2,4,2,1,2,2,5,0,5,0,58236.618
24738,"H",7,2507,3,48,1000000,1001264,29,1,1,1,1,0,1,3,2,2,2,2,0,2,2,200,2,2,2,3,2,3,0,1,0,2,0,0,0,3,1,1,6,0,0,1,9,2,1,0,1,1,2,1,0,140000,1,400,5,0,0,0,0,0,0,0,1,0,0,1,6,35300,9,0,4,4,4,1,1,1,7,0,0,0,61829.854
24809,"H",7,2004,3,48,1000000,1001264,73,6,1,1,1,0,1,5,2,2,2,2,0,2,2,260,2,2,2,20,1,1,1500,1,0,1,2,2100,2,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,620000,3,1600,16,2,0,0,0,96200,2,0,0,0,0,4,1,96200,9,1,2,2,2,1,1,2,3,1,6,0,90843.598
