"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACCESS","ACR","AGS","BATH","BDSP","BLD","BROADBND","BUS","COMPOTHX","CONP","DIALUP","DSL","ELEP","FIBEROP","FS","FULP","GASP","HANDHELD","HFL","INSP","LAPTOP","MHP","MODEM","MRGI","MRGP","MRGT","MRGX","OTHSVCEX","REFR","RMSP","RNTM","RNTP","RWAT","RWATPR","SATELLITE","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FFINCP","FGRNTP","FHINCP","FINCP","FPARC","FPLMPRP","FSMOCP","GRNTP","GRPIP","HHL","HHT","HINCP","HOTWAT","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","BTUEL"
35147,"H",7,5202,3,48,1000000,1001264,92,5,1,1,1,0,1,4,2,1,2,2,0,2,2,40,2,2,2,60,2,1,520,1,0,1,0,0,0,3,2,1,9,0,0,1,9,2,1,0,1,1,2,1,0,230000,2,840,8,2,1,0,1,19600,2,0,1,0,0,3,1,19600,9,0,2,2,2,1,1,1,5,3,5,0,25916.448
36959,"H",7,5308,3,48,1000000,1001264,38,2,1,1,1,0,1,4,2,1,2,2,0,2,2,200,1,2,2,3,1,3,1200,1,0,1,2,2400,1,1,2,1,5,0,0,1,9,2,1,0,1,1,1,1,0,375000,2,100,5,1,0,0,0,2e+05,4,0,0,0,0,1,1,200000,9,0,4,4,4,1,1,1,1,0,2,0,50466.733
37023,"H",7,4604,3,48,1000000,1001264,284,1,1,1,0,0,1,1,9,1,0,2,450,2,2,130,2,2,2,3,1,3,1900,1,0,1,0,0,0,3,2,1,3,0,0,1,9,2,1,0,1,1,2,1,0,240000,1,2,7,0,0,0,0,0,0,0,0,0,0,1,6,33000,9,0,4,4,4,1,1,1,1,0,0,0,55240.28
37124,"H",7,4608,3,48,1000000,1001264,44,2,1,3,1,0,1,1,2,0,2,2,0,0,0,150,0,1,2,40,2,1,0,2,0,0,0,0,0,3,0,1,5,0,0,1,9,0,1,0,1,1,2,1,0,46000,1,300,3,6,0,0,0,16000,4,0,1,0,0,1,2,16000,9,0,4,4,4,1,1,1,6,0,2,0,107963.206
37698,"H",7,3302,3,48,1000000,1001264,62,3,1,1,1,0,1,3,2,2,2,2,0,2,1,200,2,2,2,100,1,1,500,1,0,2,1,1200,2,1,2,1,4,0,0,1,9,2,1,0,1,1,1,1,0,2e+05,2,100,5,1,1,0,1,52500,2,0,1,0,0,1,1,52500,9,0,2,2,2,1,1,1,6,1,3,0,33923.395
38083,"H",7,4802,3,48,1000000,1001264,219,2,1,2,1,0,1,2,1,0,2,2,0,0,0,1,0,2,2,3,1,3,0,2,0,0,0,0,0,0,0,1,4,0,0,1,9,0,1,0,1,1,4,1,0,0,1,1,7,7,1,0,1,153600,4,0,0,0,0,1,3,153600,9,0,4,4,4,1,1,1,4,0,2,0,61512
38857,"H",7,2322,3,48,1000000,1001264,110,1,1,1,0,0,1,1,8,2,0,2,0,2,1,90,2,2,2,3,1,3,0,1,0,2,0,0,0,0,2,1,2,2,640,1,9,2,1,0,1,1,3,1,0,0,1,60,6,0,0,0,0,0,0,0,0,735,20,1,6,45000,9,0,4,4,4,1,1,1,3,0,0,0,77060.036
39330,"H",7,1905,3,48,1000000,1001264,57,2,1,1,1,0,1,3,2,1,2,2,0,2,2,200,2,2,2,100,1,1,1100,1,0,1,1,1300,1,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,175000,1,1200,8,7,0,0,0,100200,1,0,0,0,0,1,3,100200,9,0,1,1,1,1,1,1,4,1,2,0,23813.345
39424,"H",7,2700,3,48,1000000,1001264,80,5,1,1,1,0,1,3,2,2,2,1,0,2,1,140,2,2,2,130,1,1,0,1,0,1,0,0,0,0,2,1,5,2,650,1,9,2,1,0,1,1,3,1,0,0,2,840,3,1,0,0,0,42000,2,0,0,990,28,1,1,42000,9,0,2,2,2,1,1,1,4,3,5,0,50356.246
39567,"H",7,3602,3,48,1000000,1001264,30,1,1,1,2,1,1,4,2,1,2,2,0,2,2,180,2,2,2,3,1,3,700,1,0,2,0,0,0,3,2,1,7,0,0,1,9,1,1,0,1,1,2,1,0,150000,1,620,5,0,0,0,1,0,0,0,0,0,0,1,4,80500,9,0,4,4,4,1,1,1,4,0,0,0,27643.896
40637,"H",7,5906,3,48,1000000,1001264,55,2,1,3,0,0,1,1,4,0,0,2,0,0,0,130,0,2,2,60,2,1,0,2,0,0,2,380,2,1,0,1,5,0,0,1,9,0,1,0,1,1,1,1,0,48000,3,670,2,4,1,0,1,31400,4,0,1,0,0,2,1,31400,9,0,4,4,4,1,1,1,5,0,2,0,56944.697
42322,"H",7,2304,3,48,1000000,1001264,54,6,1,1,2,1,1,3,1,2,2,2,0,2,1,280,2,2,2,3,1,3,0,2,0,2,0,0,0,0,2,1,6,2,1000,1,9,2,1,0,1,1,3,1,0,0,2,600,11,2,0,0,0,23000,3,0,0,1330,69,2,1,23000,9,1,3,3,3,1,2,2,4,3,6,0,75737
43259,"H",7,2307,3,48,1000000,1001264,121,2,1,3,1,0,1,3,2,0,2,2,0,0,0,130,0,2,2,60,2,1,1800,2,0,0,0,0,0,3,0,1,6,0,0,1,9,0,1,0,1,1,2,1,0,120000,1,980,6,4,1,0,1,26600,4,0,1,0,0,1,1,26600,9,0,4,4,4,1,1,1,6,0,2,0,50412.272
43282,"H",7,5909,3,48,1000000,1001264,55,2,1,1,1,0,1,3,2,1,2,2,0,2,1,230,2,2,2,30,1,1,750,1,0,1,0,0,0,3,2,1,6,0,0,1,9,2,1,0,1,1,2,1,0,130000,2,2100,5,8,0,0,0,79200,4,0,0,0,0,1,3,79200,9,0,4,4,4,1,1,1,7,0,2,0,32363.924
43443,"H",7,2313,3,48,1000000,1001264,105,3,1,1,0,0,1,1,5,1,0,2,0,2,2,100,2,1,2,3,1,3,0,2,0,2,0,0,0,0,2,1,5,2,1600,1,9,2,1,0,1,1,3,1,0,0,1,30,1,3,1,1,1,72000,1,0,0,1703,28,2,1,72000,9,0,1,1,1,1,1,1,5,1,3,0,23591.013
44677,"H",7,1901,3,48,1000000,1001264,61,1,1,1,0,0,1,1,9,2,0,2,0,2,2,70,1,2,2,3,1,3,0,1,0,2,0,0,0,0,2,1,4,2,1100,1,9,2,1,0,1,1,3,1,0,0,1,30,18,0,0,0,0,0,0,0,0,1173,23,2,4,60000,9,0,4,4,4,1,1,1,1,0,0,0,66404.102
46823,"H",7,4903,3,48,1000000,1001264,38,1,1,3,0,0,1,1,9,0,0,2,0,0,0,2,0,2,1,3,2,2,0,2,0,0,0,0,0,0,0,1,2,1,3000,1,9,0,1,0,1,1,3,1,0,0,0,2,7,0,0,1,1,0,0,0,0,3000,92,1,6,39100,9,0,4,4,4,1,1,1,3,0,0,0,56705.007
47856,"H",7,4625,3,48,1000000,1001264,109,2,1,2,2,1,1,3,2,0,2,2,0,0,0,180,0,2,2,20,1,3,2300,1,0,0,1,1000,1,1,0,1,7,0,0,1,9,0,1,0,1,1,1,1,0,150000,2,660,8,1,0,0,0,102000,4,0,1,0,0,1,1,102000,9,0,4,4,4,1,1,1,5,0,2,0,32975.263
48315,"H",7,4615,3,48,1000000,1001264,95,1,1,2,0,0,1,1,6,0,0,2,0,0,0,110,0,2,2,3,1,3,0,1,0,0,0,0,0,0,0,1,2,2,420,1,9,0,1,0,1,1,3,1,0,0,1,1,6,0,0,0,0,0,0,0,0,530,42,5,4,15000,9,0,4,4,4,1,2,1,3,0,0,0,41361.136
50398,"H",7,3700,3,48,1000000,1001264,28,1,1,1,1,0,1,3,2,2,2,1,0,1,1,220,2,2,2,20,1,1,1300,1,0,2,0,0,0,3,2,1,8,0,0,1,9,2,1,0,1,1,2,1,0,110000,1,620,5,0,0,0,0,0,0,0,0,0,0,1,4,44700,9,0,4,4,4,1,1,1,7,0,0,0,36134.075
50856,"H",7,2600,3,48,1000000,1001264,42,5,1,3,1,0,1,3,2,0,2,2,0,0,0,40,0,1,2,30,2,1,210,2,0,0,0,0,0,3,0,1,5,0,0,1,9,0,1,0,1,1,2,1,0,20000,2,1400,2,8,1,0,1,23930,2,0,1,0,0,1,3,23930,9,1,3,4,3,1,1,2,4,0,5,0,14669.039
51723,"H",7,3303,3,48,1000000,1001264,172,5,1,1,1,0,1,4,2,2,2,2,0,2,2,60,2,2,2,50,1,1,700,2,0,1,0,0,0,3,2,1,6,0,0,1,9,2,1,0,1,1,2,1,0,90000,3,1100,6,2,0,0,0,58800,2,0,0,0,0,2,1,58800,9,1,2,4,2,1,1,2,7,0,5,0,55950.601
52408,"H",7,2004,3,48,1000000,1001264,88,4,1,1,1,0,1,4,2,1,2,2,0,2,2,80,2,2,2,2,1,1,1200,1,0,1,1,1400,1,1,2,1,9,0,0,1,9,2,1,0,1,1,1,1,0,220000,3,1200,10,1,1,0,1,72500,2,0,0,0,0,2,1,72500,9,0,2,2,2,1,1,1,4,1,4,0,85749.964
52934,"H",7,5915,3,48,1000000,1001264,123,2,1,1,2,1,1,3,2,1,2,2,0,1,2,70,2,2,2,10,1,3,1200,1,0,2,2,1800,2,1,2,1,9,0,0,1,9,2,1,0,1,1,1,1,0,4e+05,2,40,7,4,0,0,0,162500,4,0,0,0,0,4,1,162500,9,0,4,4,4,1,1,1,5,0,2,0,34611.965
56536,"H",7,2515,3,48,1000000,1001264,63,1,1,1,0,0,1,2,5,2,0,2,0,2,1,160,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,4,2,820,1,9,2,1,0,1,1,3,1,0,0,1,1,3,0,0,0,0,0,0,0,0,980,30,1,6,39600,9,0,4,4,4,1,1,1,2,0,0,0,24476.658
56640,"H",7,3400,3,48,1000000,1001264,107,3,1,1,1,0,1,3,2,2,2,2,0,2,2,150,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,6,2,500,1,9,2,1,0,1,1,3,1,0,0,2,1400,13,1,0,0,0,54500,1,0,0,767,17,1,1,54500,9,0,1,1,1,1,1,1,3,1,3,0,32055.719
57896,"H",7,5000,3,48,1000000,1001264,15,2,1,2,2,1,1,3,2,0,2,2,0,0,0,520,0,2,2,3,1,3,1400,1,0,0,2,750,2,1,0,1,8,0,0,1,9,0,1,0,1,1,1,1,0,225000,2,410,9,4,0,0,0,47900,4,0,0,0,0,1,1,47900,9,0,4,4,4,1,1,1,4,0,2,0,29991.279
58273,"H",7,1501,3,48,1000000,1001264,195,6,1,2,1,0,1,3,2,0,2,2,0,0,0,480,0,2,2,3,2,3,1500,1,0,0,1,1100,1,1,0,1,5,0,0,1,9,0,1,0,1,1,1,1,0,130000,5,50,8,2,1,0,1,41000,3,0,0,0,0,1,1,41000,9,0,3,3,3,1,1,1,5,3,6,0,50967.963
58730,"H",7,3900,3,48,1000000,1001264,51,2,1,1,2,1,1,4,2,1,2,2,0,2,2,150,2,1,2,3,1,3,1200,1,0,2,0,0,0,3,2,1,11,0,0,1,9,2,1,0,1,1,2,1,0,120000,2,540,7,0,0,0,1,0,0,0,0,0,0,1,7,730,9,0,4,4,4,1,1,1,6,0,0,0,38074.871
59453,"H",7,2307,3,48,1000000,1001264,37,2,1,1,0,0,1,2,8,1,0,2,0,2,2,100,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,3,2,1100,1,9,2,1,0,1,1,3,1,0,0,2,1,6,0,0,1,1,0,0,0,0,1200,12,1,5,116000,9,0,4,4,4,1,1,1,3,0,0,0,69813.66
59636,"H",7,4501,3,48,1000000,1001264,101,4,1,1,2,1,1,5,1,2,2,2,0,2,2,280,2,2,2,3,1,3,0,1,300,2,0,0,0,3,2,1,7,0,0,1,9,1,1,0,1,1,2,1,0,80000,1,1200,13,7,1,0,1,49000,2,0,0,0,0,2,3,49000,9,0,2,2,2,1,1,1,4,2,4,0,66486.497
59859,"H",7,2301,3,48,1000000,1001264,109,6,1,1,0,0,1,3,7,1,0,2,0,2,2,100,2,1,2,3,1,3,0,1,0,2,0,0,0,0,2,1,5,2,750,1,9,2,1,0,1,1,3,1,0,0,2,600,6,8,0,0,1,0,3,0,0,900,36,2,3,30000,9,0,3,3,3,1,2,1,4,4,5,0,40850.201
60780,"H",7,6603,3,48,1000000,1001264,58,1,1,1,0,0,1,1,9,1,0,2,0,2,1,80,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,4,2,880,1,9,2,1,0,1,1,3,1,0,0,1,200,5,0,0,0,0,0,0,0,0,977,23,1,6,50030,9,0,4,4,4,1,1,1,3,0,0,0,48430.129
63940,"H",7,2307,3,48,1000000,1001264,46,2,1,1,1,0,1,4,2,2,2,2,0,2,1,250,1,2,2,3,1,3,1300,1,0,1,2,1000,1,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,170000,1,600,5,8,0,0,0,76090,4,0,0,0,0,2,3,76090,9,0,4,4,4,1,1,1,6,0,2,0,16309.862
64191,"H",7,2320,3,48,1000000,1001264,33,2,1,1,1,0,1,3,2,2,2,1,0,2,1,4,2,2,2,4,1,3,1200,1,0,2,0,0,0,3,2,1,6,0,0,1,9,2,1,0,1,1,2,1,0,1e+05,3,4,3,8,1,0,1,14700,4,0,1,0,0,1,3,14700,9,0,4,4,4,1,1,1,7,0,2,0,74314.291
64390,"H",7,2700,3,48,1000000,1001264,38,2,1,1,1,0,1,3,2,1,2,2,0,2,2,1,2,1,2,1,1,1,0,1,0,1,0,0,0,0,2,1,7,2,500,1,9,2,1,0,1,1,3,1,0,0,1,1,1,6,1,0,1,9600,2,0,0,500,63,1,2,9600,9,0,2,2,2,1,1,1,5,1,2,0,28650.225
69620,"H",7,4801,3,48,1000000,1001264,229,3,1,1,1,0,1,3,2,1,2,2,0,2,2,150,2,2,2,20,1,1,1200,1,0,1,0,0,0,3,2,1,6,0,0,1,9,2,1,0,1,1,2,1,0,187000,3,600,6,1,0,0,0,141000,4,0,0,0,0,1,1,141000,9,0,4,4,4,1,1,1,1,0,3,0,21319.497
72914,"H",7,4501,3,48,1000000,1001264,177,1,1,3,0,0,1,1,8,0,0,2,0,0,0,50,0,2,2,3,1,3,0,1,0,0,0,0,0,0,0,1,2,2,450,1,9,0,1,0,1,1,3,1,0,0,1,2,5,0,0,0,0,0,0,0,0,500,41,1,6,14800,9,0,4,4,4,1,1,1,3,0,0,0,45671.44
74273,"H",7,3602,3,48,1000000,1001264,176,1,1,3,0,0,1,2,4,0,0,2,0,0,0,280,0,2,2,160,1,3,0,2,0,0,0,0,0,0,0,1,4,2,330,1,9,0,1,0,1,1,3,1,0,0,1,1,4,0,0,0,0,0,0,0,0,770,16,1,4,59000,9,0,4,4,4,1,1,1,4,0,0,0,61860.029
75797,"H",7,2510,3,48,1000000,1001264,104,1,1,1,2,1,1,4,2,2,2,2,0,2,2,80,2,2,2,40,1,3,1800,1,0,1,0,0,0,3,2,1,9,0,0,1,9,2,1,0,1,1,2,1,0,250000,1,1500,5,0,0,0,0,0,0,0,1,0,0,1,4,18500,9,0,4,4,4,1,1,1,6,0,0,0,50014.265
80074,"H",7,4615,3,48,1000000,1001264,195,3,1,1,1,0,1,3,2,2,2,2,0,2,2,250,1,2,2,40,1,1,1900,1,0,2,0,0,0,3,2,1,6,0,0,1,9,2,1,0,1,1,2,1,0,125000,3,650,4,1,0,0,0,121000,4,0,0,0,0,1,1,121000,9,0,4,4,4,1,1,1,5,0,3,0,24535.578
80267,"H",7,4501,3,48,1000000,1001264,117,3,1,1,2,1,1,3,1,2,2,2,0,2,1,170,2,2,2,240,1,2,880,1,1200,2,1,530,2,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,528000,3,2,7,2,0,0,0,6950,2,0,0,0,0,1,1,6950,9,0,2,2,2,1,1,1,5,1,3,0,81411.644
81509,"H",7,2006,3,48,1000000,1001264,116,2,1,1,1,0,1,4,2,2,2,2,0,2,1,230,2,2,2,3,1,3,1200,1,0,2,2,1300,1,1,2,1,5,0,0,1,9,2,1,0,1,1,1,1,0,165000,1,120,8,5,0,0,0,109100,4,0,0,0,0,1,2,109100,9,0,4,4,4,1,1,1,1,0,2,0,48444.187
81904,"H",7,3400,3,48,1000000,1001264,23,3,1,2,2,1,1,3,1,0,2,1,0,0,0,230,0,2,2,3,1,6,1300,1,0,0,0,0,0,3,0,1,6,0,0,1,9,0,1,0,1,1,2,1,0,1e+05,4,1000,8,2,1,0,1,132000,4,0,0,0,0,1,1,132000,9,0,4,4,4,1,1,1,5,0,3,0,37831.554
82015,"H",7,4000,3,48,1000000,1001264,65,2,1,1,2,1,1,4,2,2,2,2,0,2,1,220,2,2,2,3,2,3,740,1,0,2,0,0,0,3,2,1,8,0,0,1,9,2,1,0,1,1,2,1,0,55000,2,20,6,4,1,0,1,31000,4,0,0,0,0,1,1,31000,9,0,4,4,4,1,1,1,7,0,2,0,34869.611
88865,"H",7,3501,3,48,1000000,1001264,41,7,1,1,1,0,1,3,2,1,2,2,0,2,1,110,2,1,2,50,1,3,720,2,0,1,1,390,1,1,2,1,5,0,0,1,9,2,1,0,1,1,1,1,0,48000,1,1300,3,2,0,0,0,35100,3,0,0,0,0,2,1,35100,9,1,3,4,3,1,1,2,3,0,7,0,118911.72
89632,"H",7,4626,3,48,1000000,1001264,62,6,1,1,1,0,1,3,2,1,2,1,0,2,1,400,2,1,2,3,1,3,0,1,0,2,0,0,0,0,2,1,6,2,950,1,9,2,1,0,1,1,3,1,0,0,2,860,7,8,1,0,1,24400,1,0,0,1422,49,1,3,34800,9,1,3,4,1,1,1,2,4,0,4,0,20283.073
91447,"H",7,2313,3,48,1000000,1001264,47,2,1,1,0,0,1,1,5,2,0,2,0,2,2,90,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,3,2,1100,1,9,2,1,0,1,1,3,1,0,0,1,1000,5,1,0,0,0,130100,4,0,0,1273,12,4,1,130100,9,0,4,4,4,1,1,1,2,0,2,0,82239.155
92266,"H",7,2314,3,48,1000000,1001264,45,4,1,1,2,1,1,2,2,1,2,1,0,2,1,170,2,2,2,40,1,1,0,1,0,1,0,0,0,3,2,1,4,0,0,1,9,2,1,0,1,1,2,1,0,30000,1,840,3,8,1,0,1,54000,2,0,0,0,0,1,3,54000,9,1,2,4,2,1,1,2,7,0,4,0,57070.818
93064,"H",7,4302,3,48,1000000,1001264,129,1,1,1,1,0,1,3,2,2,2,2,0,2,1,140,2,2,2,30,1,3,0,1,0,1,1,1200,1,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,150000,1,820,5,0,0,0,1,0,0,0,0,0,0,1,6,58000,9,0,4,4,4,1,1,1,4,0,0,0,43670.808
93389,"H",7,4618,3,48,1000000,1001264,148,4,1,3,1,0,1,3,2,0,2,2,0,0,0,100,0,2,2,3,2,3,0,2,0,0,0,0,0,3,0,1,6,0,0,1,9,0,1,0,1,1,2,1,0,45000,3,800,4,8,1,0,1,72200,4,0,0,0,0,1,3,72200,9,0,4,4,4,1,1,2,7,0,4,0,32597.404
94653,"H",7,502,3,48,1000000,1001264,75,2,1,1,0,0,1,0,9,2,0,2,0,2,2,80,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,1,2,740,1,9,2,1,0,1,1,3,1,0,0,2,360,8,0,0,0,0,0,0,0,0,850,14,2,5,72000,9,0,4,4,4,1,1,1,1,0,0,0,79380.581
102797,"H",7,2600,3,48,1000000,1001264,263,5,1,3,0,0,1,2,4,0,0,2,0,0,0,180,0,2,2,3,2,3,0,2,0,0,0,0,0,0,0,1,4,2,450,1,9,0,1,0,1,1,3,1,0,0,1,1,6,2,0,0,0,58000,3,0,0,630,13,2,1,58000,9,0,3,3,3,1,1,1,3,3,5,0,22826.982
117223,"H",7,3303,3,48,1000000,1001264,85,1,1,3,1,0,1,2,2,0,2,2,0,0,0,50,0,2,2,50,2,1,0,2,0,0,0,0,0,3,0,1,4,0,0,1,9,0,1,0,1,1,2,1,0,58000,0,50,4,0,0,0,0,0,0,0,0,0,0,2,6,10000,9,0,4,4,4,1,2,1,7,0,0,0,109529.18
118238,"H",7,2515,3,48,1000000,1001264,120,3,1,1,1,0,1,3,2,1,2,2,0,2,1,450,2,2,2,40,1,3,2700,1,0,1,2,1300,1,1,2,1,7,0,0,1,9,2,1,310,1,1,1,1,0,2e+05,3,2700,4,2,1,0,1,160100,4,0,0,0,0,1,1,160100,9,0,4,4,4,1,1,1,5,0,3,0,30601
121875,"H",7,2515,3,48,1000000,1001264,30,1,1,3,1,0,1,3,2,0,2,2,0,0,0,90,0,2,2,80,2,1,1200,2,0,0,1,610,1,1,0,1,6,0,0,1,9,0,1,0,1,1,1,1,0,85000,1,60,3,0,0,0,0,0,0,0,0,0,0,3,4,46620,9,0,4,4,4,1,1,1,4,0,0,0,27218
122076,"H",7,4615,3,48,1000000,1001264,53,2,1,1,0,0,1,2,5,2,0,2,0,2,2,140,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,4,2,600,1,9,2,1,0,1,1,3,1,0,0,1,1,7,0,0,0,0,0,0,0,0,740,89,4,5,10000,9,0,4,4,4,1,1,1,1,0,0,0,86418.935
126498,"H",7,800,3,48,1000000,1001264,122,1,1,1,2,1,1,3,2,1,2,2,0,2,2,220,2,2,2,3,1,3,2000,1,0,2,1,950,1,1,2,1,6,0,0,1,9,1,1,0,1,1,1,1,0,2e+05,2,600,7,0,0,0,0,0,0,0,1,0,0,1,6,19300,9,0,4,4,4,1,1,1,5,0,0,0,37016.788
143946,"H",7,600,3,48,1000000,1001264,12,5,1,1,1,0,1,4,2,1,2,2,0,2,1,180,2,2,2,3,1,3,1200,1,0,2,0,0,0,3,2,1,8,0,0,1,9,2,1,0,1,1,2,1,0,157000,3,90,8,1,0,0,0,162300,2,0,0,0,0,1,1,162300,9,0,2,2,2,1,1,1,5,2,5,0,49596.832
145701,"H",7,4400,3,48,1000000,1001264,29,1,1,3,1,0,1,1,2,0,2,2,0,0,0,120,0,2,2,3,2,3,0,2,0,0,0,0,0,0,0,1,3,2,350,1,9,0,1,0,1,2,3,1,0,0,0,1,5,0,0,0,0,0,0,0,0,470,19,1,4,30000,9,0,4,4,4,1,1,1,1,0,0,0,67907.631
146892,"H",7,2514,3,48,1000000,1001264,208,1,1,1,0,0,1,1,7,2,0,2,0,2,2,70,1,2,2,3,1,3,0,1,0,2,0,0,0,0,2,1,3,2,1000,1,9,2,1,0,1,1,3,1,0,0,1,200,7,0,0,0,0,0,0,0,0,1087,33,1,4,40000,9,0,4,4,4,1,1,1,1,0,0,0,56271.839
150017,"H",7,3601,3,48,1000000,1001264,116,4,1,1,1,0,1,3,2,1,2,2,0,2,2,280,2,2,2,30,1,2,0,2,0,2,0,0,0,0,2,1,6,0,0,1,9,2,1,0,1,1,4,1,0,0,2,2,3,2,0,0,0,70000,2,0,0,0,0,1,1,70000,9,0,3,3,3,1,1,1,4,2,4,0,25792.549
172090,"H",7,2313,3,48,1000000,1001264,106,1,1,1,0,0,1,1,9,1,0,2,0,2,1,50,2,2,2,110,1,1,0,1,0,2,0,0,0,0,2,1,3,2,1400,1,9,2,1,0,1,2,3,1,0,0,1,420,17,0,0,0,0,0,0,0,0,1595,25,1,4,77400,9,0,4,4,4,1,1,1,1,0,0,0,54937.287
177062,"H",7,1300,3,48,1000000,1001264,24,2,1,1,1,0,1,2,2,1,2,2,0,2,2,150,2,2,2,20,1,3,0,1,0,2,0,0,0,0,2,1,5,0,0,1,9,2,1,0,1,1,4,1,0,0,2,840,4,5,0,0,0,40080,4,0,0,0,0,1,2,40080,9,0,4,4,4,1,1,1,1,0,2,0,43423.883
186797,"H",7,2003,3,48,1000000,1001264,67,5,1,1,1,0,1,5,2,2,2,2,0,2,2,200,1,2,2,180,1,3,1300,1,0,2,1,2000,1,1,2,1,9,0,0,1,9,2,1,0,1,1,1,1,0,280000,2,1500,7,2,0,0,0,135000,2,0,0,0,0,1,1,135000,9,0,2,2,2,1,1,1,2,2,5,0,97150.142
198659,"H",7,5302,3,48,1000000,1001264,278,1,1,3,0,0,1,1,7,0,0,2,0,0,0,90,0,2,2,3,2,3,0,2,0,0,0,0,0,0,0,1,3,2,1000,1,9,0,1,0,1,1,3,1,0,0,1,1,16,0,0,1,1,0,0,0,0,1090,36,1,6,36000,9,0,4,4,4,1,1,1,3,0,0,0,68814.181
211711,"H",7,3100,3,48,1000000,1001264,75,3,1,1,1,0,1,3,2,1,2,2,0,2,2,220,1,2,2,100,1,1,100,1,0,2,2,550,2,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,63000,2,120,3,3,1,0,1,87300,4,0,1,0,0,2,1,87300,9,0,4,4,4,1,1,1,5,0,3,0,75231.578
223745,"H",7,300,3,48,1000000,1001264,129,7,1,1,1,0,1,3,2,1,2,2,0,2,1,400,2,1,2,3,1,3,700,1,0,2,1,450,1,1,2,1,9,0,0,1,9,2,1,180,1,1,1,1,0,43000,2,190,2,7,0,0,0,51000,3,0,1,0,0,2,3,51000,9,1,3,4,3,1,1,2,5,0,7,0,24290.969
240802,"H",7,2002,3,48,1000000,1001264,59,1,1,1,0,0,1,1,6,2,0,2,0,2,2,100,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,2,2,830,1,9,2,1,0,1,1,3,1,0,0,1,10,7,0,0,0,1,0,0,0,0,931,27,1,6,41000,9,0,4,4,4,1,1,1,3,0,0,0,49385.361
264447,"H",7,5301,3,48,1000000,1001264,55,1,1,1,0,0,1,1,7,1,0,2,0,2,2,40,2,2,2,1,1,3,0,2,0,2,0,0,0,0,2,1,3,2,780,1,9,2,1,0,1,1,3,1,0,0,1,1,6,0,0,0,0,0,0,0,0,820,25,1,4,40000,9,0,4,4,4,1,1,1,2,0,0,0,46777.589
265334,"H",7,5908,3,48,1000000,1001264,72,2,1,1,1,0,1,3,2,1,2,2,0,2,2,210,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,5,2,1400,1,9,2,1,0,1,1,3,1,0,0,2,480,8,0,0,0,0,0,0,0,0,1650,23,1,5,86000,9,0,4,4,4,1,1,1,1,0,0,0,26201.173
286819,"H",7,4637,3,48,1000000,1001264,40,3,1,1,1,0,1,3,2,2,2,2,0,2,1,150,2,2,2,3,1,3,1300,1,0,1,2,1200,1,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,145000,2,800,6,2,0,0,0,-5600,2,0,0,0,0,3,1,-5600,9,0,1,1,1,1,1,1,3,1,3,0,33137.344
288202,"H",7,4400,3,48,1000000,1001264,176,2,1,1,2,1,1,3,2,1,2,2,0,2,2,120,1,2,2,80,1,1,800,1,0,1,0,0,0,3,2,1,7,0,0,1,9,2,1,0,1,1,2,1,0,160000,2,770,6,2,0,0,0,118000,4,0,0,0,0,1,1,118000,9,0,4,4,4,1,1,1,7,0,2,0,87877.981
332455,"H",7,3200,3,48,1000000,1001264,178,4,1,1,0,0,1,2,5,2,0,1,0,2,1,200,2,2,2,50,1,1,0,1,0,2,0,0,0,0,2,1,4,2,500,1,9,2,1,0,1,1,3,1,0,0,2,1500,6,1,0,0,0,135000,4,0,0,875,8,1,1,135000,9,0,1,4,4,1,1,1,3,0,2,0,37289
420677,"H",7,2700,3,48,1000000,1001264,39,1,1,1,0,0,1,1,9,2,0,2,0,2,2,70,2,2,2,3,2,3,0,1,0,1,0,0,0,0,2,1,2,2,590,1,9,2,1,0,1,1,3,1,0,0,1,20,5,0,0,0,0,0,0,0,0,662,15,1,4,52800,9,0,4,4,4,1,1,1,3,0,0,0,42272.061
